Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID,RosariosComments
Pick up the blue block from the two beside each other that is the left.,Configuration_12_v1.png,human,4,0:00:35,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the orange block that is between a blue and a yellow block,Configuration_10_v2.png,human,2,0:00:25,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the yellow block that is surrounded by three green blocks and one blue block.,Configuration_11_v1.png,human,1,0:00:35,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the green block that is closest to you.,Configuration_9_v2.png,human,5,0:00:11,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the orange block that is closest to you.,Configuration_13_v1.png,human,4,0:00:12,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Ignore the stack of three blue blocks  and the single blue block and pick up the bottom blue block from the pair.,Configuration_14_v2.png,human,3,0:00:40,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the blue block on your left.,Configuration_7_v1.png,human,5,0:00:22,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the green block on your left.,Configuration_3_v2.png,human,5,0:00:14,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the green block in the center of the group of five.,Configuration_6_v1.png,human,1,0:00:27,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the right most green block,Configuration_1_v2.png,human,4,0:00:15,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the green block on the left of the pair that lined up perfectly.,Configuration_8_v1.png,human,1,0:00:25,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the orange block closest to you.,Configuration_2_v2.png,human,4,0:00:12,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the yellow block surrounded by three yellow blocks and one blue block.,Configuration_4_v1.png,human,1,0:00:28,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203,
Pick up the nearest green block to you,Configuration_1_v2.png,robot,4,0:00:31,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
Pick up the yellow block that is between the two green blocks,Configuration_11_v1.png,robot,4,0:00:41,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
Pick up the fartherest blue block. It is the one directly flanked by a yellow block.,Configuration_12_v2.png,robot,3,0:00:56,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
You want to pick up the orange block that is in between the other orange blocks.,Configuration_13_v1.png,robot,4,0:00:51,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
Pick up the green block that is on the other side of the table.,Configuration_3_v2.png,robot,4,0:00:37,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
Look for the block of 3 green blocks toward the right side of them.  Pick the green block in the middle.,Configuration_8_v1.png,robot,4,0:00:35,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
"To the right is one orange block, then 2 yellow blocks. Pick the 2nd yellow block.",Configuration_4_v2.png,robot,4,0:00:42,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
There is 3 orange blocks pretty close together. Pick the orange block that is the farther one away from you.,Configuration_5_v1.png,robot,4,0:00:41,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
On the left side there is two green blocks. You want to select the green one nearest you.,Configuration_7_v2.png,robot,4,0:00:26,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
"On your left hand side there is 5 green blocks pretty close together. Two toward you, one in the middle, then two away from you. Please select the one in the middle.",Configuration_6_v1.png,robot,4,0:00:51,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
"Looking to your direct left of the blocks, you see a blue block. Then two more blue blocks. Please select blue block of these that is the furtherest away from you",Configuration_2_v2.png,robot,2,0:01:04,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
There is one orange block separated from the other ones. Please pick this one.,Configuration_10_v1.png,robot,4,0:00:30,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
"Near you in the middle, you see one green, then two blue blocks.  Please select blue block number 1.",Configuration_14_v2.png,robot,4,0:00:33,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
Please select the green box furtherest away from you.,Configuration_9_v1.png,robot,4,0:00:32,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202,
the second blue block from my left,Configuration_14_v2.png,human,3,0:00:14,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the third blue block from my left,Configuration_12_v1.png,human,4,0:00:12,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the green block on my right,Configuration_3_v2.png,human,5,0:00:10,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the yellow block second closest to me touching the blue block furthest ot he tright,Configuration_4_v1.png,human,1,0:00:32,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the green block closest to you,Configuration_1_v2.png,human,5,0:00:09,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the 2nd yellow block from my right,Configuration_11_v1.png,human,5,0:00:14,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the 2nd green block from my left,Configuration_6_v2.png,human,5,0:00:11,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the block block on my right,Configuration_7_v1.png,human,5,0:00:09,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the green block closest to you,Configuration_9_v2.png,human,5,0:00:09,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the orange block on my right,Configuration_10_v1.png,human,5,0:00:07,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the yellow block that is flush with a green block,Configuration_13_v2.png,human,2,0:00:16,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the green block on my right that is pushed right up against another green block,Configuration_8_v1.png,human,1,0:00:19,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the closest yellow block to me,Configuration_5_v2.png,human,1,0:00:10,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
the second blue block from my right,Configuration_2_v1.png,human,5,0:00:17,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205,
"There is a group of 2 blue blocks in the middle, pick up the one that is closest to you.",Configuration_14_v2.png,robot,5,0:00:38,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
Pick up orange block that is the most near you.,Configuration_13_v1.png,robot,5,0:00:24,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
pick up the yellow block that is the farthest away from you.,Configuration_5_v2.png,robot,5,0:00:16,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
"there are three green blocks in the middle of the table, grab the one in the middle.",Configuration_8_v1.png,robot,4,0:01:47,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
from your point of view grab the third blue block from the left side of the table,Configuration_2_v2.png,robot,3,0:01:31,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
Pick up the green block that is farthest away from you,Configuration_9_v1.png,robot,5,0:00:15,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
Pick up the green block that is closest to you.,Configuration_1_v2.png,robot,5,0:00:25,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
"only focusing on the green blocks, pick up the one that is the 3rd farthest away from you.",Configuration_6_v1.png,robot,4,0:02:46,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
Grab the block that is farthest to your left.,Configuration_7_v2.png,robot,5,0:00:37,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
"on your right side there is a blue block at the end of the table, grab yellow block that's touching it.",Configuration_4_v1.png,robot,3,0:01:06,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
grab the orange block that is nearest you,Configuration_10_v2.png,robot,5,0:00:13,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
Grab the yellow block that is surrounded by three green blocks and a blue block.,Configuration_11_v1.png,robot,3,0:00:26,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
Grab the block that is the farthest away from you.,Configuration_12_v2.png,robot,5,0:00:22,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
Grab the closest green block to you.,Configuration_3_v1.png,robot,5,0:00:18,Color was the most important factor followed by weather it was the far away/close or to the right/left.,Most challenging aspect was when the blocks were in the middle of the table.,"Survey was fun, no issues.",31,male,dairy manager,>20,Right,1,1,2,7,6,I've seen a Roomba but that's about  it.,204,
"From your point of view, grab the Green block furthest to the left.",Configuration_3_v2.png,human,5,0:00:19,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
Grab the yellow block that is completely surrounded by 3 green blocks and 1 blue block and 1 other yellow block.,Configuration_11_v1.png,human,4,0:01:08,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
"From your point of view, grab the green block that is directly in front of the right most yellow block.",Configuration_8_v2.png,human,5,0:00:25,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
"From your point of view, grab the left most green block.",Configuration_9_v1.png,human,5,0:00:13,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
"From your point of view, grab the blue block that is directly behind the closest green block to you.",Configuration_14_v2.png,human,4,0:00:28,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
Grab the singular green block that is in between two sets of double green blocks.,Configuration_6_v1.png,human,4,0:00:27,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
"From your point of view, grab the second yellow block directly behind the left most blue block.",Configuration_13_v2.png,human,4,0:00:54,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
Grab the orange block that is the farthest away from you.,Configuration_5_v1.png,human,5,0:00:18,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
Grab the blue block that is the farthest away from you.,Configuration_12_v2.png,human,5,0:00:11,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
Grab the central blue block in the group of three blue blocks on your left.,Configuration_2_v1.png,human,4,0:00:22,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
Grab the closest orange block to you on your right side.,Configuration_10_v2.png,human,4,0:00:12,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
Grab the yellow block.,Configuration_1_v1.png,human,5,0:00:07,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
"Of the two green blocks on your left side, grab the closer one.",Configuration_7_v2.png,human,5,0:00:20,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
"Starting from the right most orange block, grab the third yellow block behind it.",Configuration_4_v1.png,human,4,0:00:55,I thought the best strategy was to explain things from the point of view of the person.,I did not find in that challenging except occasionally when you had to explain to grab a block in a cluster of similarly colored blocks.,This was really fun and interesting. Thanks,24,male,Programmer,>20,Right,1,4,2,4,3,"I took a class in college where I had to design Autonomous robots, including a claw to pick up objects and a car that had to follow a path.",207,
the blue block on your right hand side,Configuration_11_v2.png,human,5,0:00:29,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
the only yellow block on the table,Configuration_1_v1.png,human,5,0:00:16,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
"The yellow block in the center, it is sitting next to a green block",Configuration_13_v2.png,human,4,0:00:38,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
there is a row of three green blocks with a yeellow underneath. You need to pick up the center green one on this row.,Configuration_8_v1.png,human,3,0:00:43,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
the green block next to the blue block,Configuration_7_v2.png,human,4,0:00:20,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
pick up the blue block right next to the orange block on your left,Configuration_2_v1.png,human,4,0:00:27,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
the furthest green block from you,Configuration_3_v2.png,human,4,0:00:15,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
there is 3 green blocks in a triangle formation the top one closest to you,Configuration_6_v1.png,human,2,0:00:31,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
you need to pick up the blue block sitting right behind the green block closest to you,Configuration_14_v2.png,human,3,0:00:32,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
the orange block on the back sitting right of the yellow block,Configuration_5_v1.png,human,2,0:00:29,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
there is an orange block followed by a yellow block followed by another yellow one. The second yellow is the one needed.,Configuration_4_v2.png,human,1,0:00:59,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
the isolated orange block on the corner,Configuration_10_v1.png,human,5,0:00:15,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
the closest green block separated from the rest.,Configuration_9_v2.png,human,5,0:00:13,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
the blue block farthest back located behind the orange and green blocks,Configuration_12_v1.png,human,2,0:00:26,I just tried to guide the person to the correct place.,it was not too bad.,Nothing more to add,26,female,sales,15-20,Right,1,2,2,5,4,"yes, they are mostly everywhere not like the traditional hollywood sense. But there is variations of one just about everywhere you look.",209,
Pick up the furthest away green block.,Configuration_3_v2.png,robot,4,0:00:44,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the green block that has two green blocks above and below it.,Configuration_6_v1.png,robot,3,0:00:53,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the closest green block.,Configuration_1_v2.png,robot,4,0:00:25,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
"Of the two parallel green blocks, pick up the leftmost of them.",Configuration_8_v1.png,robot,2,0:01:06,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the third closest yellow block.,Configuration_4_v2.png,robot,3,0:00:31,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the yellow block that is surrounded by three green blocks and one blue block.,Configuration_11_v1.png,robot,4,0:00:34,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
"Of the three blue blocks near the orange block, pick up the rightmost one.",Configuration_2_v2.png,robot,2,0:00:44,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the rightmost blue block.,Configuration_14_v1.png,robot,4,0:00:25,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the furthest away blue block.,Configuration_12_v2.png,robot,4,0:00:18,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the furthest away orange block.,Configuration_10_v1.png,robot,4,0:00:21,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
Pick up the closest green block.,Configuration_9_v2.png,robot,4,0:00:14,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208,
